City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
411,Sechura,PE,-5.5569,-80.8222,77.95,61,26,16.08,scattered clouds
412,Ancud,CL,-41.8697,-73.8203,55.22,93,100,25.64,moderate rain
413,Rawson,AR,-43.3002,-65.1023,57.96,40,81,5.17,broken clouds
414,Chauk,MM,20.8833,94.8167,82.15,66,5,7.43,clear sky
415,Tukrah,LY,32.5341,20.5791,65.7,60,37,6.85,scattered clouds
416,Ibanda,TZ,-2.7974,32.4746,65.34,94,83,3.13,broken clouds
417,Bowen,AU,-20.0167,148.2333,75.96,82,100,18.25,overcast clouds
418,Marsabit,KE,2.3284,37.9899,66.18,85,93,8.12,overcast clouds
419,Mandurah,AU,-32.55,115.7,57.9,63,0,15.19,clear sky
420,Daru,PG,-9.0763,143.2092,78.44,89,99,9.46,moderate rain
421,Rizhao,CN,35.4275,119.4553,51.66,83,100,2.21,overcast clouds
422,Shilka,RU,51.85,116.0333,34.3,59,100,3.62,light snow
423,Richards Bay,ZA,-28.783,32.0377,68.97,90,69,3.98,broken clouds
424,Bratsk,RU,56.1325,101.6142,28.89,96,100,3.29,light snow
425,Kysyl-Syr,RU,63.8986,122.7617,17.73,95,100,4.74,overcast clouds
426,Mamburao,PH,13.25,120.6667,76.87,81,12,6.06,few clouds
427,Ola,RU,59.5833,151.2833,21.15,79,28,6.38,scattered clouds
428,Neiafu,TO,-18.65,-173.9833,84.88,70,20,4.61,few clouds
429,Ekhabi,RU,53.5102,142.9671,29.5,96,100,16.15,light snow
430,Garmsar,IR,35.2182,52.3409,70.38,33,22,7.67,few clouds
431,Jalu,LY,29.0331,21.5482,79.43,10,83,13.27,broken clouds
432,Sokoto,NG,13.0609,5.239,93.4,22,24,4.25,few clouds
433,Copiapo,CL,-27.3667,-70.3333,58.69,49,24,5.84,few clouds
434,Caravelas,BR,-17.7125,-39.2481,74.44,79,15,5.7,few clouds
435,Hammond,US,41.5834,-87.5,60.35,97,100,14.97,overcast clouds
436,Constitucion,CL,-35.3333,-72.4167,56.77,94,92,0.81,overcast clouds
437,Khalkhal,IR,37.6189,48.5258,46.33,79,3,2.71,clear sky
438,Klaksvik,FO,62.2266,-6.589,41.92,78,86,18.99,overcast clouds
439,Bay Roberts,CA,47.5999,-53.2648,44.35,60,100,4.0,overcast clouds
440,Morgan City,US,29.6994,-91.2068,82.0,44,0,12.8,clear sky
441,Korla,CN,41.7597,86.1469,63.52,21,18,7.02,few clouds
442,Topolovgrad,BG,42.0833,26.3333,58.73,85,99,7.7,overcast clouds
443,Srednekolymsk,RU,67.45,153.6833,17.65,91,98,7.31,overcast clouds
444,Ust-Ilimsk,RU,58.0006,102.6619,27.28,87,100,2.91,overcast clouds
445,Berlevag,NO,70.8578,29.0864,35.6,86,99,12.5,overcast clouds
446,Chemodanovka,RU,53.2316,45.2474,38.7,74,100,5.53,overcast clouds
447,Corn Island,NI,12.1694,-83.0418,80.98,77,99,12.33,overcast clouds
